model,defense,scenario,mAP50_C,mAP50_P,Δ_mAP50,mAP5095_C,mAP5095_P,Precision_C,Precision_P,Recall_C,Recall_P,Det_img_C,Det_img_P,Δ_Det_img,FP_img_C,FP_img_P,Δ_FP_img,FP@0.3_P,FP@0.5_P,FP@0.7_P
yolov8n,none,billboard04,0.9167592581567723,0.6195879652501103,-0.297171,0.5937268658552766,0.3822870562954011,0.8676646382387909,0.6971484372495832,0.8631910451177185,0.55,12.78,57.54,44.76,10.96,55.92,44.96,7.2,1.46,0.14
yolov8n,none,billboard05,0.7602418202114714,0.6333899191642848,-0.126852,0.49713808963962625,0.3515363448215589,0.8212291919592719,0.770352436528131,0.705904890691909,0.4483265228000173,16.18,54.06,37.88,12.66,50.74,38.08,3.2,0.7,0.1
yolov8n,none,billboard06,0.6879993030173187,0.563985329394557,-0.124014,0.4561569742843941,0.33691365079482566,0.7509871821364015,0.7198662212424499,0.6692750484720212,0.43494558140700174,17.54,54.78,37.24,13.2,50.74,37.54,6.34,1.52,0.08
yolov8n,none,billboard07,0.7546905017191532,0.5347081555914324,-0.219982,0.46079035137830626,0.26254180785647147,0.8086540828117391,0.5630731308452338,0.7545732122144839,0.5236868020750067,31.82,58.92,27.1,24.5,53.12,28.62,5.86,1.56,0.14
yolov8n,none,billboard08,0.763254354352426,0.6967196666186717,-0.066535,0.5910248983913802,0.5207185864817648,0.8617951653096733,0.9050410555860243,0.716887344475761,0.6231133141158832,19.08,64.92,45.84,18.0,63.94,45.94,7.54,2.12,0.04
yolov8n,none,billboard09,0.7875180221709925,0.46931493686767295,-0.318203,0.4569798070516117,0.23797422851241987,0.8126008507898381,0.5134170357135832,0.7419501267914625,0.3889612645475074,49.64,89.26,39.62,43.1,82.96,39.86,7.52,2.2,0.04
yolov8n,gauss_sigma4.0,billboard04,0.8513955873259977,0.3703225959576438,-0.481073,0.5344060692671485,0.1902584762528222,0.8769241957697341,0.5549704167847513,0.7818181818181819,0.32575757575757575,14.4,38.38,23.98,12.64,37.1,24.46,0.26,0.08,0.04
yolov8n,gauss_sigma4.0,billboard05,0.6679287953771261,0.43095517618908835,-0.236974,0.4182068449170807,0.18726206896451253,0.7072267853618444,0.6065900701244409,0.6164750957854407,0.3533894515883534,14.1,40.04,25.94,10.86,38.18,27.32,0.36,0.14,0.04
yolov8n,gauss_sigma4.0,billboard06,0.6513158245278632,0.4122762093158027,-0.23904,0.40543562083107043,0.18523046262177748,0.6266995777666257,0.47778800032637453,0.6718345042506297,0.36688453159041395,16.76,39.06,22.3,12.54,35.72,23.18,0.46,0.24,0.04
yolov8n,gauss_sigma4.0,billboard07,0.649430028020358,0.33350132937231647,-0.315929,0.39821950226565306,0.11535940101766051,0.8706714679243815,0.5414757578863048,0.6420739352438253,0.3064742768968121,29.78,44.22,14.44,22.64,40.32,17.68,1.06,0.78,0.24
yolov8n,gauss_sigma4.0,billboard08,0.7286586554910869,0.6253787044996044,-0.10328,0.5300554757583739,0.3773102899163416,0.8695678924396524,0.6480674670707298,0.7184313725490196,0.5090196078431373,12.04,27.7,15.66,11.1,26.78,15.68,0.08,0.02,0.02
yolov8n,gauss_sigma4.0,billboard09,0.7155978788124207,0.24599456905474656,-0.469603,0.3754929585878061,0.1250477970941451,0.7399911479563857,0.3620815696331896,0.6806496439117595,0.23579989577905158,53.74,69.04,15.3,47.5,64.86,17.36,0.52,0.12,0.04
yolov8n,median_ksize13,billboard04,0.8830141069187991,0.4342428876736849,-0.448771,0.5356926190909495,0.22680968115902272,0.9419505334254722,0.5945254823611857,0.7216624349438214,0.3743889596223352,17.58,34.4,16.82,15.8,33.02,17.22,0.26,0.08,0.0
yolov8n,median_ksize13,billboard05,0.7412073614062767,0.4458590048199927,-0.295348,0.4101256899955605,0.2249870898989466,0.7792602997948409,0.611659663367322,0.6517203109043392,0.3008789722785666,13.98,29.48,15.5,10.74,27.74,17.0,0.12,0.08,0.04
yolov8n,median_ksize13,billboard06,0.6309823484678571,0.47990109279318816,-0.151081,0.39573676920105344,0.22669919554418846,0.9172370003752555,0.5697593610774376,0.596949891067538,0.41385580666468175,24.04,33.56,9.52,19.84,30.24,10.4,0.1,0.08,0.02
yolov8n,median_ksize13,billboard07,0.6394550217034571,0.37460449679523267,-0.264851,0.36678472747260665,0.16220851697289335,0.622280629436708,0.6121672115618064,0.6476366462459325,0.2801232363726682,36.2,36.34,0.14,29.04,32.3,3.26,0.26,0.12,0.08
yolov8n,median_ksize13,billboard08,0.7333638720310347,0.6483104304325903,-0.085053,0.5503553336304942,0.40961252913058216,0.8395508341381718,0.6749976534716092,0.7184313725490196,0.6015383401882415,9.74,28.08,18.34,8.82,27.16,18.34,0.08,0.02,0.02
yolov8n,median_ksize13,billboard09,0.6798684076832059,0.26391016659029903,-0.415958,0.36499188794391413,0.14666830470113185,0.8078156644649195,0.36361466650011054,0.6043088515424812,0.2671096056974118,60.78,63.08,2.3,54.68,58.78,4.1,1.46,0.32,0.04
yolov8n,jpeg_quality95,billboard04,0.9109852159052472,0.6370449249509396,-0.27394,0.5906675339929639,0.37259096792403285,0.8463534102403028,0.6878570062590399,0.8608820958416114,0.5534566788198958,12.66,56.7,44.04,10.84,55.08,44.24,6.62,0.98,0.02
yolov8n,jpeg_quality95,billboard05,0.7515564106114289,0.6321749937765994,-0.119381,0.4950293105603988,0.35333065792948876,0.8146271592306386,0.7572887212264706,0.7128014424160468,0.45472701045460945,16.18,51.86,35.68,12.64,48.62,35.98,3.5,0.84,0.06
yolov8n,jpeg_quality95,billboard06,0.6874292231732001,0.5524949596146612,-0.134934,0.45848080184345014,0.3285901050466525,0.755169671871936,0.6352289716048957,0.671677559912854,0.40638467834726727,17.22,54.06,36.84,12.86,50.02,37.16,6.2,1.24,0.08
yolov8n,jpeg_quality95,billboard07,0.7509313079479016,0.5325558174817407,-0.218375,0.45862437222539426,0.25342582674147135,0.8015790385773158,0.5109792162534279,0.7584962001836106,0.5527471354936144,32.06,61.72,29.66,24.74,56.0,31.26,7.48,1.6,0.14
yolov8n,jpeg_quality95,billboard08,0.7571722630886648,0.6965403776036361,-0.060632,0.590993410373883,0.5218854889141293,0.9106729838999416,0.8182153513596594,0.6988235294117647,0.6257105179798989,18.42,65.52,47.1,17.34,64.52,47.18,6.96,2.02,0.04
yolov8n,jpeg_quality95,billboard09,0.7946688144266554,0.4637310434275222,-0.330938,0.45759615563693046,0.23300665046274666,0.8090041582229507,0.45881970314998843,0.745823117937616,0.3983846368138262,48.98,86.36,37.38,42.44,80.04,37.6,7.9,2.74,0.06
yolov8n,bitdepth_bits7,billboard04,0.91509198083639,0.6197137938500201,-0.295378,0.5907521510113695,0.3830777399844422,0.8688317388764142,0.6921948600438375,0.8632674766370154,0.55,12.82,57.26,44.44,11.0,55.64,44.64,7.24,1.48,0.12
yolov8n,bitdepth_bits7,billboard05,0.7596119502252301,0.6323422005439573,-0.12727,0.497681670118712,0.3506545914464973,0.8180351411573547,0.7697184029414817,0.7061793982527683,0.4485424287758842,16.0,53.98,37.98,12.5,50.66,38.16,3.16,0.7,0.1
yolov8n,bitdepth_bits7,billboard06,0.688060369496216,0.558476333434299,-0.129584,0.4571303830766897,0.33578275136647767,0.7488021641043568,0.6839147315441396,0.6694989106753813,0.4457226675313204,17.54,55.04,37.5,13.2,51.0,37.8,6.28,1.54,0.08
yolov8n,bitdepth_bits7,billboard07,0.7562664072925248,0.53387041203025,-0.222396,0.46150433387246953,0.2632123185496601,0.7984070433929701,0.5799233124384098,0.7589219257456332,0.5191037039048598,31.96,59.22,27.26,24.64,53.48,28.84,5.96,1.6,0.14
yolov8n,bitdepth_bits7,billboard08,0.7634569926393029,0.6968732658136526,-0.066584,0.5886187393325792,0.5213612089194823,0.8630586729807291,0.9086464382783191,0.7164924664649955,0.6233109185939812,18.7,64.38,45.68,17.62,63.4,45.78,7.54,2.16,0.04
yolov8n,bitdepth_bits7,billboard09,0.7887943008880414,0.47351799625341096,-0.315276,0.45508284431784896,0.23961355139086754,0.7956369118163824,0.5146949435764989,0.7365381274969602,0.41527705402119164,49.66,89.1,39.44,43.14,82.8,39.66,7.58,2.24,0.04
yolov8s,none,billboard04,0.9489937477803367,0.7495597149850833,-0.199434,0.6932182002672238,0.4311850204850279,0.9492370454754547,0.8832892966677955,0.9212121212121211,0.5654952807769631,4.76,16.58,11.82,2.96,14.98,12.02,2.62,1.52,0.58
yolov8s,none,billboard05,0.8875303615848994,0.7203009474182863,-0.167229,0.6189698604071859,0.44655644586899435,0.9515679487645393,0.8358548427755336,0.8572848565187835,0.623011043497859,7.0,7.54,0.54,3.36,4.3,0.94,0.38,0.3,0.22
yolov8s,none,billboard06,0.8158812826760448,0.6585882523715288,-0.157293,0.6001949209621085,0.394339804291109,0.8067586258272273,0.7875002693598235,0.8234204793028322,0.6176488144834368,8.76,18.88,10.12,4.38,14.9,10.52,0.68,0.28,0.14
yolov8s,none,billboard07,0.8667858744757927,0.674202917935961,-0.192583,0.5984815280564663,0.37942525716653297,0.9148152998558752,0.8423203337755618,0.847802233244131,0.5000020494604439,13.04,14.58,1.54,5.98,9.44,3.46,0.64,0.44,0.24
yolov8s,none,billboard08,0.8644455948187595,0.7287186231151814,-0.135727,0.6647320053493114,0.5766835835496701,0.8800836532258208,0.8572326681046593,0.8115881830734959,0.6763901902608606,6.8,11.64,4.84,5.76,10.72,4.96,0.2,0.1,0.04
yolov8s,none,billboard09,0.8643106282453334,0.7096753632163806,-0.154635,0.6062655167497668,0.3434642620961227,0.8529378313760614,0.727811037709784,0.8567924330342176,0.5807589707700588,13.96,28.6,14.64,7.44,22.42,14.98,2.96,1.98,0.84
yolov8s,gauss_sigma4.0,billboard04,0.8691134277838506,0.537039081755383,-0.332074,0.5769606704455503,0.2658428310712405,0.9126498008901145,0.6957043529424074,0.7576913416860702,0.42991494385739093,13.86,58.46,44.6,12.12,57.0,44.88,4.34,1.68,0.36
yolov8s,gauss_sigma4.0,billboard05,0.7518252043249337,0.5092110350004688,-0.242614,0.474765737485218,0.2210309128993043,0.7807747749193479,0.5336050526236328,0.7633761550597251,0.47236713993302937,16.3,62.58,46.28,12.76,59.72,46.96,1.92,0.78,0.22
yolov8s,gauss_sigma4.0,billboard06,0.6729491054569521,0.4341140704314472,-0.238835,0.4512854540293842,0.1925605923096953,0.6649643603327938,0.5392738932681804,0.7289760348583879,0.38169934640522873,17.96,71.0,53.04,13.68,67.68,54.0,1.2,0.62,0.44
yolov8s,gauss_sigma4.0,billboard07,0.678527720633528,0.37004987591120586,-0.308478,0.4580605124255362,0.13971277950457106,0.6496349526975533,0.5257765167886664,0.6877157198512771,0.31253488295741816,19.72,53.5,33.78,12.64,49.94,37.3,1.94,0.62,0.16
