model,scenario,baseline_clean_mAP50,baseline_patched_mAP50,baseline_clean_mAP5095,baseline_patched_mAP5095,baseline_det@0001,baseline_fp@0001,baseline_fp@03,baseline_fp@05,baseline_fp@07,lgs_clean_mAP50,lgs_patched_mAP50,lgs_clean_mAP5095,lgs_patched_mAP5095,lgs_det@0001,lgs_fp@0001,lgs_fp@03,lgs_fp@05,lgs_fp@07,delta_clean_mAP50,delta_patched_mAP50,delta_det@0001,delta_fp@0001,delta_fp@03,delta_fp@05,delta_fp@07
yolov8n,billboard04,0.9167592581567723,0.26204335965576586,0.5937268658552766,0.1610344517853494,57.54,55.86,7.2,1.46,0.14,0.8556663830642663,0.5868600280138025,0.5040258222036405,0.31245778654875195,18.06,16.66,0.26,0.08,0.06,-0.0611,0.3248,-39.48,-39.2,-6.94,-1.38,-0.08
yolov8n,billboard05,0.7602418202114714,0.35360530043621535,0.49713808963962625,0.2270946185181235,54.06,50.74,3.2,0.7,0.1,0.7012013909974932,0.6199113010867124,0.4432420850992811,0.333974542603152,16.06,13.18,0.3,0.18,0.1,-0.059,0.2663,-38.0,-37.56,-2.9,-0.52,0.0
yolov8n,billboard06,0.6879993030173187,0.2888606517263162,0.4561569742843941,0.2033046388308751,54.78,50.74,6.34,1.52,0.08,0.6347739071502173,0.5301535116259126,0.38553632505924357,0.26899272953082637,18.04,14.94,0.2,0.08,0.0,-0.0532,0.2413,-36.74,-35.8,-6.14,-1.44,-0.08
yolov8n,billboard07,0.7546905017191532,0.11629889536042048,0.46079035137830626,0.05935534312147104,58.92,53.12,5.86,1.56,0.14,0.665016895422824,0.503921913666418,0.38325154331290134,0.21112595784076152,30.14,24.44,0.74,0.44,0.14,-0.0897,0.3876,-28.78,-28.68,-5.12,-1.12,0.0
yolov8n,billboard08,0.763254354352426,0.11977096547555108,0.5910248983913802,0.0805369097680326,64.92,63.94,7.54,2.12,0.04,0.7544658568288679,0.7423363911754954,0.5816938171987134,0.5046283319213901,17.24,16.24,0.18,0.02,0.02,-0.0088,0.6226,-47.68,-47.7,-7.36,-2.1,-0.02
yolov8n,billboard09,0.7875180221709925,0.46931493686767295,0.4569798070516117,0.23797422851241987,89.26,82.96,7.52,2.2,0.04,0.662982519109147,0.6318241107388453,0.37827338471394173,0.2655060393479854,50.92,44.8,0.72,0.18,0.06,-0.1245,0.1625,-38.34,-38.16,-6.8,-2.02,0.02
yolov8s,billboard04,0.9489937477803367,0.32900255225595665,0.6932182002672238,0.1887404587444524,16.58,14.98,2.62,1.52,0.58,0.8818914869944421,0.6835937271148294,0.5821049977335957,0.39994729282789215,4.86,3.62,0.2,0.12,0.02,-0.0671,0.3546,-11.72,-11.36,-2.42,-1.4,-0.56
yolov8s,billboard05,0.8875303615848994,0.414459279457341,0.6189698604071859,0.2774600366989606,7.54,4.3,0.38,0.3,0.22,0.9209454567348936,0.7782346837116556,0.5572922619895709,0.41081945200078085,6.62,3.62,0.42,0.32,0.26,0.0334,0.3638,-0.92,-0.68,0.04,0.02,0.04
yolov8s,billboard06,0.8158812826760448,0.3602559880824632,0.6001949209621085,0.24990075814394067,18.88,14.9,0.68,0.28,0.14,0.7695451693669622,0.5992350420494117,0.4875378104593631,0.29873484786728255,11.82,8.94,0.56,0.36,0.26,-0.0463,0.239,-7.06,-5.96,-0.12,0.08,0.12
yolov8s,billboard07,0.8667858744757927,0.22850704877121228,0.5984815280564663,0.11509721936332795,14.58,9.44,0.64,0.44,0.24,0.7242849502564096,0.6257669209672581,0.5036119437463367,0.29165115224032023,12.6,7.72,0.78,0.46,0.22,-0.1425,0.3973,-1.98,-1.72,0.14,0.02,-0.02
