Model,Threshold,Metric,Clean mean,Clean std,Patched mean,Patched std,Δ mean,Δ std
yolov8n,0.001,Det/img,24.747,11.812,70.52,8.978,45.773,3.268
yolov8n,0.001,FP/img,20.851,10.305,67.156,7.533,46.304,3.2
yolov8n,0.3,Det/img,3.896,2.089,22.598,3.472,18.702,3.114
yolov8n,0.3,FP/img,0.547,0.354,20.082,3.1,19.536,3.094
yolov8n,0.5,Det/img,3.16,1.55,12.878,3.531,9.718,3.141
yolov8n,0.5,FP/img,0.256,0.187,10.713,3.199,10.458,3.213
yolov8n,0.7,Det/img,2.253,1.157,4.804,1.601,2.551,1.299
yolov8n,0.7,FP/img,0.12,0.094,3.329,1.228,3.209,1.236
yolov8s,0.001,Det/img,8.016,3.362,13.664,4.141,5.649,1.977
yolov8s,0.001,FP/img,4.147,1.72,10.331,2.7,6.184,1.964
yolov8s,0.3,Det/img,4.127,2.216,3.724,1.646,-0.402,0.854
yolov8s,0.3,FP/img,0.504,0.364,0.878,0.481,0.373,0.368
yolov8s,0.5,Det/img,3.88,2.041,3.14,1.332,-0.74,0.875
yolov8s,0.5,FP/img,0.356,0.273,0.478,0.266,0.122,0.292
yolov8s,0.7,Det/img,3.493,1.728,2.609,1.064,-0.884,0.745
yolov8s,0.7,FP/img,0.213,0.181,0.218,0.133,0.004,0.185
yolov5n,0.001,Det/img,15.984,6.45,37.678,9.377,21.693,7.61
yolov5n,0.001,FP/img,12.078,5.314,34.264,8.534,22.187,7.446
yolov5n,0.3,Det/img,4.16,2.375,5.227,1.943,1.067,1.169
yolov5n,0.3,FP/img,0.556,0.485,2.418,0.811,1.862,0.646
yolov5n,0.5,Det/img,3.529,1.794,3.331,1.444,-0.198,0.841
yolov5n,0.5,FP/img,0.28,0.235,0.771,0.426,0.491,0.435
yolov5n,0.7,Det/img,2.849,1.294,2.236,0.988,-0.613,0.376
yolov5n,0.7,FP/img,0.127,0.095,0.153,0.104,0.027,0.089
