Scenario,mAP50_clean,mAP50_patched,delta_mAP50,precision_clean,precision_patched,recall_clean,recall_patched,tp_clean,tp_patched,fp_clean,fp_patched,pred_clean,pred_patched,gt_clean,gt_patched
billboard01,0.00527443100713787,0.002447672045048477,-0.002826758962089393,0.06122449040412903,0.03345724940299988,0.07228915393352509,0.05421686917543411,12,9,184,260,196,269,166,166
billboard02,0.008509495719360188,0.00816847509264465,-0.000341020626715538,0.04498269781470299,0.03318583965301514,0.053278688341379166,0.06147541105747223,13,15,276,437,289,452,244,244
billboard03,0.012217602838063613,0.008590174140408635,-0.0036274286976549774,0.04680851101875305,0.021212121471762657,0.0859375,0.0546875,11,7,224,323,235,330,128,128
billboard04,0.026386450974312803,0.013983438942254955,-0.012403012032057847,0.08796296268701553,0.047101449221372604,0.20430107414722443,0.13978494703769684,19,13,197,263,216,276,93,93
billboard05,0.008023054063794194,0.007549609485918318,-0.00047344457787587557,0.11627907305955887,0.09375,0.054054055362939835,0.0486486479640007,10,9,76,87,86,96,185,185
billboard06,0.009646909069888299,0.006323192361751273,-0.0033237167081370256,0.12598425149917603,0.10000000149011612,0.07174888253211975,0.06278026849031448,16,14,111,126,127,140,223,223
billboard07,0.044296856477512137,0.030718229392706797,-0.01357862708480534,0.3053892254829407,0.22905027866363525,0.13600000739097595,0.109333336353302,51,41,116,138,167,179,375,375
billboard08,0.030266345268877615,0.015499180599819695,-0.01476716466905792,0.16949152946472168,0.07894736528396606,0.16949152946472168,0.1525423675775528,10,9,49,105,59,114,59,59
billboard09,0.0006419909775925575,0.0007082608828082315,6.6269905215674e-05,0.021176470443606377,0.021153846755623817,0.026392962783575058,0.032258063554763794,9,11,416,509,425,520,341,341
MEAN,0.01614034848850436,0.010443136993706782,-0.005697211494797582,,,,,,,,,,,,
