Scenario,Det/img@0.001 C,Det/img@0.001 P,Det/img@0.001 Δ,Det/img@0.3 C,Det/img@0.3 P,Det/img@0.3 Δ,Det/img@0.5 C,Det/img@0.5 P,Det/img@0.5 Δ,Det/img@0.7 C,Det/img@0.7 P,Det/img@0.7 Δ,FP/img@0.001 C,FP/img@0.001 P,FP/img@0.001 Δ,FP/img@0.3 C,FP/img@0.3 P,FP/img@0.3 Δ,FP/img@0.5 C,FP/img@0.5 P,FP/img@0.5 Δ,FP/img@0.7 C,FP/img@0.7 P,FP/img@0.7 Δ
billboard01,67.9,70.32,2.4199999999999875,2.9,3.52,0.6200000000000001,1.9,2.2,0.30000000000000027,1.1,1.3,0.19999999999999996,67.4,69.98,2.5799999999999983,2.8,3.44,0.6400000000000001,1.82,2.14,0.32000000000000006,1.1,1.3,0.19999999999999996
billboard02,58.92,72.14,13.219999999999999,4.0,5.52,1.5199999999999996,1.82,1.94,0.11999999999999988,0.44,0.46,0.020000000000000018,58.44,71.72,13.280000000000001,3.8,5.28,1.4800000000000004,1.7,1.8,0.10000000000000009,0.42,0.42,0.0
billboard03,64.7,72.58,7.8799999999999955,2.36,3.3,0.94,1.3,1.3,0.0,0.72,0.68,-0.039999999999999925,64.36,72.06,7.700000000000003,2.2,3.16,0.96,1.14,1.18,0.040000000000000036,0.68,0.64,-0.040000000000000036
billboard04,68.16,78.56,10.400000000000006,2.44,3.82,1.38,0.94,1.36,0.42000000000000015,0.46,0.4,-0.06,67.72,78.22,10.5,2.14,3.64,1.5,0.86,1.32,0.4600000000000001,0.44,0.38,-0.06
billboard05,36.62,42.9,6.280000000000001,1.1,1.24,0.1399999999999999,0.66,0.56,-0.09999999999999998,0.38,0.32,-0.06,36.6,42.18,5.579999999999998,1.08,1.1,0.020000000000000018,0.64,0.56,-0.07999999999999996,0.38,0.32,-0.06
billboard06,43.0,50.22,7.219999999999999,1.56,1.74,0.17999999999999994,0.98,0.76,-0.21999999999999997,0.64,0.38,-0.26,43.0,49.32,6.32,1.56,1.74,0.17999999999999994,0.98,0.76,-0.21999999999999997,0.64,0.38,-0.26
billboard07,54.54,63.72,9.18,3.8,2.84,-0.96,1.22,0.74,-0.48,0.34,0.32,-0.020000000000000018,54.54,61.38,6.840000000000003,3.8,2.18,-1.6199999999999997,1.22,0.58,-0.64,0.34,0.32,-0.020000000000000018
billboard08,27.22,38.34,11.120000000000005,0.76,0.92,0.16000000000000003,0.42,0.4,-0.019999999999999962,0.3,0.3,0.0,27.16,38.1,10.940000000000001,0.72,0.88,0.16000000000000003,0.38,0.36,-0.020000000000000018,0.3,0.3,0.0
billboard09,90.2,96.24,6.039999999999992,5.92,6.78,0.8600000000000003,3.34,3.28,-0.06000000000000005,2.48,1.98,-0.5,89.94,96.06,6.1200000000000045,5.86,6.74,0.8799999999999999,3.32,3.26,-0.06000000000000005,2.48,1.98,-0.5
MEAN,56.806666666666665,65.00222222222222,8.195555555555554,2.76,3.2977777777777777,0.5377777777777778,1.3977777777777778,1.3933333333333335,-0.004444444444444399,0.7622222222222221,0.6822222222222223,-0.08,56.57333333333333,64.33555555555556,7.762222222222224,2.6622222222222223,3.1288888888888895,0.4666666666666667,1.34,1.3288888888888888,-0.011111111111111084,0.7533333333333334,0.6711111111111112,-0.08222222222222224
