Scenario,Precision,Recall,TP,Pred,GT
billboard01,0.061224489795918366,0.07228915662650602,12,196,166
billboard02,0.04498269896193772,0.05327868852459016,13,289,244
billboard03,0.04680851063829787,0.0859375,11,235,128
billboard04,0.08796296296296297,0.20430107526881722,19,216,93
billboard05,0.11627906976744186,0.05405405405405406,10,86,185
billboard06,0.12598425196850394,0.07174887892376682,16,127,223
billboard07,0.30538922155688625,0.136,51,167,375
billboard08,0.1694915254237288,0.1694915254237288,10,59,59
billboard09,0.021176470588235293,0.026392961876832845,9,425,341
MEAN,0.10881102240710144,0.09705487118869954,16.77777777777778,200.0,201.55555555555554
